correct_answer,answer
Scissors,Tearing
Telephone,Saxophone
Violin_or_fiddle,Saxophone
Harmonica,Squeak
Tearing,Shatter
Squeak,Cello
Meow,Saxophone
Knock,Tearing
Clarinet,Saxophone
Keys_jangling,Bass_drum
Telephone,Laughter
Bus,Writing
Laughter,Cough
Gong,Cowbell
Saxophone,Laughter
Finger_snapping,Shatter
Computer_keyboard,Writing
Gong,Cello
Fart,Applause
Cough,Fart
Laughter,Violin_or_fiddle
Microwave_oven,Fireworks
Fart,Fireworks
Squeak,Gunshot_or_gunfire
Cough,Fart
Microwave_oven,Double_bass
Chime,Squeak
Bass_drum,Double_bass
Drawer_open_or_close,Writing
Snare_drum,Fireworks
Squeak,Laughter
Tearing,Violin_or_fiddle
Knock,Saxophone
Squeak,Writing
Hi-hat,Finger_snapping
Fireworks,Squeak
Laughter,Bark
Microwave_oven,Bass_drum
Bark,Laughter
Applause,Bark
Fireworks,Applause
Cowbell,Glockenspiel
Tearing,Harmonica
Fireworks,Knock
Squeak,Shatter
Applause,Laughter
Acoustic_guitar,Laughter
Gong,Cello
Laughter,Oboe
Shatter,Hi-hat
Acoustic_guitar,Electric_piano
Chime,Fireworks
Flute,Clarinet
Gunshot_or_gunfire,Fart
Cello,Violin_or_fiddle
Computer_keyboard,Writing
Flute,Fart
Double_bass,Gong
Bus,Double_bass
Harmonica,Squeak
Knock,Double_bass
Violin_or_fiddle,Glockenspiel
Computer_keyboard,Tearing
Double_bass,Bus
Cough,Applause
Hi-hat,Bass_drum
Cello,Double_bass
Scissors,Tearing
Microwave_oven,Drawer_open_or_close
Fireworks,Knock
Computer_keyboard,Fart
Writing,Tearing
Laughter,Meow
Fart,Bus
Tearing,Fireworks
Tearing,Shatter
Trumpet,Cough
Tearing,Drawer_open_or_close
Gunshot_or_gunfire,Shatter
Hi-hat,Shatter
Microwave_oven,Drawer_open_or_close
Trumpet,Laughter
Squeak,Laughter
Fart,Shatter
Trumpet,Applause
Squeak,Laughter
Acoustic_guitar,Squeak
Hi-hat,Shatter
Burping_or_eructation,Cough
Acoustic_guitar,Laughter
Finger_snapping,Shatter
Fart,Cough
Violin_or_fiddle,Harmonica
Knock,Bass_drum
Trumpet,Applause
Trumpet,Shatter
Meow,Cello
Knock,Double_bass
Laughter,Clarinet
Computer_keyboard,Fireworks
Fireworks,Bass_drum
Fart,Tearing
Saxophone,Laughter
Fart,Applause
Squeak,Cello
Acoustic_guitar,Snare_drum
Gong,Electric_piano
Keys_jangling,Tearing
Bass_drum,Double_bass
Bass_drum,Tearing
Computer_keyboard,Microwave_oven
Clarinet,Fireworks
Snare_drum,Bass_drum
Tearing,Bus
Flute,Acoustic_guitar
Squeak,Writing
Electric_piano,Clarinet
Fart,Applause
Bass_drum,Double_bass
Electric_piano,Cello
Telephone,Trumpet
Computer_keyboard,Writing
Gunshot_or_gunfire,Fart
Gong,Bark
Bus,Drawer_open_or_close
Squeak,Cello
Squeak,Writing
Burping_or_eructation,Knock
Knock,Drawer_open_or_close
Flute,Squeak
Gong,Violin_or_fiddle
Saxophone,Flute
Bark,Fireworks
Scissors,Tearing
Bus,Oboe
Telephone,Cello
Squeak,Trumpet
Squeak,Applause
Squeak,Double_bass
Tearing,Hi-hat
Chime,Fireworks
Gong,Acoustic_guitar
Fart,Squeak
Violin_or_fiddle,Laughter
Snare_drum,Gong
Bus,Fireworks
Chime,Bark
Acoustic_guitar,Writing
Microwave_oven,Fart
Gong,Fart
Meow,Saxophone
Finger_snapping,Writing
Gong,Bark
Tearing,Finger_snapping
Computer_keyboard,Fart
Knock,Fireworks
Cowbell,Harmonica
Acoustic_guitar,Trumpet
Writing,Violin_or_fiddle
Shatter,Fart
Writing,Knock
Gong,Flute
Gunshot_or_gunfire,Knock
Tearing,Acoustic_guitar
Drawer_open_or_close,Tearing
Cello,Double_bass
Saxophone,Fireworks
Drawer_open_or_close,Tearing
