correct_answer,answer
Scissors,Tearing
Cough,Shatter
Violin_or_fiddle,Saxophone
Harmonica,Squeak
Tearing,Shatter
Squeak,Cello
Meow,Saxophone
Knock,Shatter
Squeak,Writing
Clarinet,Saxophone
Keys_jangling,Bass_drum
Telephone,Flute
Gong,Oboe
Bus,Writing
Laughter,Cough
Gong,Electric_piano
Saxophone,Laughter
Fireworks,Drawer_open_or_close
Finger_snapping,Shatter
Computer_keyboard,Writing
Gong,Cello
Fart,Snare_drum
Cough,Fart
Laughter,Violin_or_fiddle
Microwave_oven,Fireworks
Fart,Fireworks
Squeak,Snare_drum
Cough,Fart
Microwave_oven,Gong
Chime,Squeak
Bass_drum,Double_bass
Fireworks,Acoustic_guitar
Drawer_open_or_close,Writing
Snare_drum,Acoustic_guitar
Squeak,Laughter
Tearing,Cough
Knock,Snare_drum
Squeak,Writing
Fireworks,Squeak
Microwave_oven,Bass_drum
Bark,Laughter
Applause,Bark
Fireworks,Applause
Cough,Burping_or_eructation
Tearing,Harmonica
Squeak,Shatter
Acoustic_guitar,Laughter
Gong,Cello
Laughter,Oboe
Shatter,Hi-hat
Acoustic_guitar,Electric_piano
Chime,Fireworks
Flute,Clarinet
Gunshot_or_gunfire,Fart
Cello,Harmonica
Computer_keyboard,Writing
Flute,Fart
Double_bass,Gong
Harmonica,Squeak
Knock,Double_bass
Writing,Tearing
Computer_keyboard,Tearing
Double_bass,Bus
Cough,Saxophone
Hi-hat,Bass_drum
Cello,Fireworks
Scissors,Tearing
Microwave_oven,Knock
Fireworks,Knock
Computer_keyboard,Fart
Writing,Tearing
Laughter,Cough
Fart,Applause
Tearing,Fireworks
Tearing,Shatter
Trumpet,Laughter
Tearing,Drawer_open_or_close
Double_bass,Knock
Gunshot_or_gunfire,Shatter
Laughter,Bark
Hi-hat,Shatter
Microwave_oven,Drawer_open_or_close
Trumpet,Laughter
Double_bass,Bus
Squeak,Laughter
Fart,Shatter
Trumpet,Saxophone
Squeak,Laughter
Acoustic_guitar,Cello
Hi-hat,Shatter
Burping_or_eructation,Cough
Acoustic_guitar,Laughter
Finger_snapping,Shatter
Fart,Cough
Violin_or_fiddle,Harmonica
Knock,Bass_drum
Trumpet,Applause
Trumpet,Shatter
Meow,Cello
Knock,Double_bass
Laughter,Clarinet
Computer_keyboard,Applause
Fireworks,Bass_drum
Fart,Tearing
Saxophone,Laughter
Fart,Applause
Squeak,Cello
Acoustic_guitar,Snare_drum
Gong,Bark
Keys_jangling,Tearing
Harmonica,Oboe
Trumpet,Saxophone
Bass_drum,Double_bass
Computer_keyboard,Microwave_oven
Clarinet,Fireworks
Snare_drum,Bass_drum
Tearing,Bus
Flute,Acoustic_guitar
Squeak,Writing
Electric_piano,Clarinet
Fart,Applause
Electric_piano,Acoustic_guitar
Shatter,Hi-hat
Telephone,Trumpet
Computer_keyboard,Writing
Gong,Bark
Bus,Knock
Squeak,Cello
Squeak,Writing
Burping_or_eructation,Knock
Knock,Drawer_open_or_close
Flute,Cough
Gong,Violin_or_fiddle
Saxophone,Flute
Bark,Fireworks
Scissors,Harmonica
Bus,Oboe
Telephone,Cello
Squeak,Trumpet
Squeak,Acoustic_guitar
Knock,Gong
Squeak,Double_bass
Tearing,Hi-hat
Chime,Fireworks
Gong,Acoustic_guitar
Fart,Squeak
Violin_or_fiddle,Laughter
Snare_drum,Gong
Bus,Laughter
Chime,Bark
Acoustic_guitar,Writing
Microwave_oven,Fart
Gong,Fart
Meow,Saxophone
Finger_snapping,Writing
Gong,Bark
Tearing,Finger_snapping
Computer_keyboard,Fart
Knock,Fireworks
Cowbell,Squeak
Acoustic_guitar,Trumpet
Writing,Acoustic_guitar
Shatter,Fart
Writing,Knock
Gong,Flute
Gunshot_or_gunfire,Knock
Tearing,Acoustic_guitar
Drawer_open_or_close,Tearing
Cello,Double_bass
Snare_drum,Bass_drum
Saxophone,Fireworks
Drawer_open_or_close,Writing
Squeak,Oboe
Scissors,Chime
Writing,Laughter
Computer_keyboard,Bark
Fireworks,Knock
Hi-hat,Snare_drum
Knock,Acoustic_guitar
Burping_or_eructation,Bark
Squeak,Fireworks
Hi-hat,Scissors
Burping_or_eructation,Cough
Cowbell,Flute
Writing,Harmonica
Cough,Fart
Meow,Bark
Keys_jangling,Computer_keyboard
Bass_drum,Snare_drum
Gong,Writing
Telephone,Harmonica
Microwave_oven,Laughter
Gunshot_or_gunfire,Trumpet
Keys_jangling,Hi-hat
Trumpet,Oboe
Meow,Laughter
Telephone,Bass_drum
Tearing,Fart
Double_bass,Bass_drum
Squeak,Laughter
Burping_or_eructation,Meow
Violin_or_fiddle,Acoustic_guitar
Snare_drum,Shatter
Hi-hat,Glockenspiel
Microwave_oven,Drawer_open_or_close
Fart,Burping_or_eructation
Fireworks,Fart
Laughter,Violin_or_fiddle
Microwave_oven,Tearing
Squeak,Writing
Acoustic_guitar,Flute
Double_bass,Knock
Fireworks,Gunshot_or_gunfire
Hi-hat,Shatter
Meow,Squeak
Shatter,Tearing
Tearing,Shatter
Glockenspiel,Squeak
Writing,Tearing
Telephone,Cowbell
Microwave_oven,Shatter
Electric_piano,Acoustic_guitar
Tearing,Shatter
Microwave_oven,Fart
Squeak,Laughter
Cello,Laughter
Microwave_oven,Shatter
Flute,Clarinet
Squeak,Writing
Saxophone,Laughter
Tearing,Shatter
Writing,Knock
Saxophone,Gunshot_or_gunfire
Telephone,Bark
Bass_drum,Double_bass
Burping_or_eructation,Fart
Telephone,Fart
Knock,Fart
Laughter,Applause
Hi-hat,Snare_drum
Squeak,Clarinet
Burping_or_eructation,Knock
Chime,Squeak
Trumpet,Squeak
Writing,Fireworks
Keys_jangling,Tearing
Hi-hat,Laughter
Cello,Trumpet
Microwave_oven,Writing
Tearing,Shatter
Acoustic_guitar,Gong
Meow,Fart
Tearing,Shatter
Tearing,Gunshot_or_gunfire
Laughter,Squeak
Shatter,Drawer_open_or_close
Cough,Applause
Snare_drum,Shatter
Shatter,Fart
Fireworks,Writing
Scissors,Writing
Fireworks,Applause
Meow,Laughter
Tearing,Gunshot_or_gunfire
Gunshot_or_gunfire,Fart
Computer_keyboard,Writing
Finger_snapping,Tearing
Gunshot_or_gunfire,Applause
Shatter,Scissors
Drawer_open_or_close,Writing
Meow,Trumpet
Scissors,Fart
Drawer_open_or_close,Knock
Burping_or_eructation,Cough
Cough,Microwave_oven
Hi-hat,Tearing
Tearing,Shatter
Bark,Applause
Gunshot_or_gunfire,Applause
Drawer_open_or_close,Fireworks
Flute,Fireworks
Trumpet,Laughter
Squeak,Bark
Bus,Fireworks
Bass_drum,Fart
Clarinet,Oboe
Gong,Cello
Squeak,Laughter
Laughter,Trumpet
Snare_drum,Gunshot_or_gunfire
Bass_drum,Hi-hat
Squeak,Writing
Cello,Double_bass
Hi-hat,Applause
Double_bass,Laughter
Shatter,Squeak
Squeak,Drawer_open_or_close
Tambourine,Squeak
Computer_keyboard,Double_bass
Trumpet,Applause
Fireworks,Squeak
Meow,Flute
Meow,Fireworks
Gong,Acoustic_guitar
Shatter,Tearing
Laughter,Bus
Clarinet,Applause
Cough,Fireworks
Chime,Electric_piano
Gong,Cello
Cowbell,Fart
Bark,Tambourine
Cello,Double_bass
Burping_or_eructation,Knock
Snare_drum,Cough
Saxophone,Clarinet
Snare_drum,Squeak
Hi-hat,Shatter
Tambourine,Hi-hat
Microwave_oven,Drawer_open_or_close
Applause,Gunshot_or_gunfire
Chime,Keys_jangling
Double_bass,Knock
Hi-hat,Shatter
Keys_jangling,Writing
Applause,Saxophone
Tearing,Writing
Tearing,Fart
Cowbell,Violin_or_fiddle
Drawer_open_or_close,Snare_drum
Knock,Gunshot_or_gunfire
Cough,Gong
Bark,Applause
Fart,Snare_drum
Computer_keyboard,Tearing
Gunshot_or_gunfire,Shatter
Cello,Bass_drum
Tambourine,Tearing
Gong,Double_bass
Gunshot_or_gunfire,Snare_drum
Saxophone,Cello
Shatter,Squeak
Clarinet,Flute
Microwave_oven,Shatter
Flute,Oboe
Knock,Snare_drum
Bus,Fireworks
Microwave_oven,Snare_drum
Fart,Tearing
Gunshot_or_gunfire,Shatter
Writing,Scissors
Squeak,Fart
Squeak,Saxophone
Chime,Fireworks
Finger_snapping,Snare_drum
Bass_drum,Fireworks
Burping_or_eructation,Laughter
Tearing,Hi-hat
Telephone,Meow
Scissors,Tambourine
Cowbell,Laughter
Flute,Clarinet
Squeak,Fart
Microwave_oven,Snare_drum
Writing,Gong
Computer_keyboard,Writing
Hi-hat,Squeak
Flute,Saxophone
Hi-hat,Applause
Gong,Snare_drum
Chime,Laughter
Harmonica,Laughter
Laughter,Cough
Gunshot_or_gunfire,Bass_drum
Laughter,Saxophone
Telephone,Oboe
Cough,Writing
Flute,Acoustic_guitar
Double_bass,Knock
Acoustic_guitar,Fart
Fart,Cough
Telephone,Laughter
Fireworks,Shatter
Bass_drum,Keys_jangling
Trumpet,Harmonica
Gunshot_or_gunfire,Bass_drum
Violin_or_fiddle,Squeak
Gong,Cello
Writing,Computer_keyboard
Laughter,Trumpet
Cello,Double_bass
Violin_or_fiddle,Shatter
Double_bass,Saxophone
Squeak,Knock
Bus,Fireworks
Clarinet,Oboe
Shatter,Tearing
Tearing,Scissors
Gong,Double_bass
Computer_keyboard,Writing
Microwave_oven,Fireworks
Tearing,Hi-hat
Burping_or_eructation,Laughter
Tearing,Writing
Fireworks,Shatter
Chime,Squeak
Bark,Bass_drum
Fireworks,Knock
Burping_or_eructation,Gong
Laughter,Cello
Cough,Drawer_open_or_close
Snare_drum,Fart
Fart,Cello
Snare_drum,Fart
Laughter,Cough
Microwave_oven,Shatter
Bass_drum,Saxophone
Chime,Squeak
Drawer_open_or_close,Cello
Cello,Double_bass
Cough,Laughter
Bark,Writing
Harmonica,Trumpet
Squeak,Laughter
Knock,Acoustic_guitar
Flute,Acoustic_guitar
Gong,Bus
Tearing,Writing
Meow,Trumpet
Gong,Double_bass
Tearing,Knock
Writing,Tearing
Bass_drum,Hi-hat
Flute,Bark
Cough,Fart
Tearing,Cough
Tambourine,Hi-hat
Cello,Trumpet
Microwave_oven,Tambourine
Knock,Cello
Shatter,Knock
Keys_jangling,Scissors
Harmonica,Oboe
Cough,Laughter
Squeak,Flute
Scissors,Shatter
Squeak,Applause
Cello,Violin_or_fiddle
Violin_or_fiddle,Laughter
Clarinet,Oboe
Knock,Acoustic_guitar
Meow,Cough
Cough,Burping_or_eructation
Snare_drum,Laughter
Keys_jangling,Tambourine
Squeak,Flute
Bark,Acoustic_guitar
Drawer_open_or_close,Shatter
Squeak,Cough
Hi-hat,Applause
Tearing,Fart
Meow,Knock
Squeak,Knock
Knock,Saxophone
Fart,Laughter
Fart,Laughter
Clarinet,Oboe
Squeak,Applause
Squeak,Tearing
Squeak,Flute
Squeak,Writing
Trumpet,Knock
Knock,Cello
Drawer_open_or_close,Knock
Fart,Cough
Shatter,Tearing
Squeak,Drawer_open_or_close
Gunshot_or_gunfire,Finger_snapping
Chime,Laughter
Telephone,Cello
Gunshot_or_gunfire,Snare_drum
Scissors,Hi-hat
Cowbell,Tambourine
Fireworks,Knock
Acoustic_guitar,Cello
Cello,Gong
Snare_drum,Knock
Meow,Violin_or_fiddle
Acoustic_guitar,Knock
Telephone,Saxophone
Cough,Laughter
Cough,Harmonica
Writing,Tearing
Cough,Laughter
Snare_drum,Burping_or_eructation
Finger_snapping,Tearing
Flute,Drawer_open_or_close
Scissors,Tearing
Bark,Double_bass
Chime,Tearing
Telephone,Writing
Gong,Acoustic_guitar
Writing,Tambourine
Violin_or_fiddle,Knock
Squeak,Knock
Telephone,Bass_drum
Knock,Bass_drum
Tearing,Applause
Gong,Bark
Fireworks,Snare_drum
Keys_jangling,Writing
Keys_jangling,Hi-hat
Cello,Double_bass
Flute,Finger_snapping
Acoustic_guitar,Cough
Meow,Drawer_open_or_close
Drawer_open_or_close,Computer_keyboard
Acoustic_guitar,Laughter
Acoustic_guitar,Clarinet
Scissors,Hi-hat
Writing,Laughter
Gunshot_or_gunfire,Fart
Meow,Laughter
Squeak,Shatter
Fart,Bass_drum
Knock,Fireworks
Bus,Drawer_open_or_close
Snare_drum,Tearing
Gong,Saxophone
Bark,Knock
Saxophone,Flute
Telephone,Shatter
Writing,Drawer_open_or_close
Microwave_oven,Drawer_open_or_close
Tearing,Laughter
Drawer_open_or_close,Scissors
Cello,Flute
Burping_or_eructation,Knock
Drawer_open_or_close,Writing
Tearing,Shatter
Gong,Bus
Violin_or_fiddle,Saxophone
Acoustic_guitar,Cello
Gong,Oboe
Snare_drum,Cough
Squeak,Shatter
Acoustic_guitar,Double_bass
Writing,Clarinet
Scissors,Tearing
Bark,Flute
Writing,Cello
Clarinet,Flute
Cough,Knock
Clarinet,Drawer_open_or_close
Computer_keyboard,Writing
Tambourine,Snare_drum
Fart,Applause
Cough,Drawer_open_or_close
Trumpet,Applause
Saxophone,Clarinet
Clarinet,Flute
Cowbell,Tambourine
Shatter,Hi-hat
Cough,Squeak
Flute,Acoustic_guitar
Knock,Clarinet
Shatter,Tearing
Bark,Cowbell
Meow,Writing
Violin_or_fiddle,Cello
Fireworks,Squeak
Hi-hat,Tambourine
Microwave_oven,Knock
Chime,Fart
Tearing,Writing
Fireworks,Bass_drum
Writing,Scissors
Flute,Saxophone
Microwave_oven,Shatter
Trumpet,Writing
Gong,Clarinet
Bus,Writing
Tambourine,Snare_drum
