fname       ,label
00063640.wav,Double_bass Flute Oboe
0013a1db.wav,Drawer_open_or_close Laughter Hi-hat
002bb878.wav,Cowbell Oboe Glockenspiel
002d392d.wav,Squeak Gong Electric_piano
00326aa9.wav,Electric_piano Bass_drum Applause
0038a046.wav,Fireworks Saxophone Squeak
003995fa.wav,Glockenspiel Gunshot_or_gunfire Fireworks
005ae625.wav,Oboe Snare_drum Electric_piano
007759c4.wav,Bark Cowbell Keys_jangling
008afd93.wav,Trumpet Chime Trumpet
00a161c0.wav,Violin_or_fiddle Snare_drum Cough
00a7a2f6.wav,Trumpet Fireworks Violin_or_fiddle
00ae03f6.wav,Keys_jangling Writing Burping_or_eructation
00b2404e.wav,Cough Tearing Double_bass
00beb030.wav,Cello Electric_piano Snare_drum
00c4d5b8.wav,Flute Burping_or_eructation Tearing
00c92c05.wav,Acoustic_guitar Shatter Fart
00ccf065.wav,Tearing Bass_drum Saxophone
00d0ab77.wav,Knock Double_bass Flute
00dffe3a.wav,Oboe Computer_keyboard Keys_jangling
00e33205.wav,Clarinet Cello Applause
00e7ed07.wav,Cough Applause Harmonica
00eac343.wav,Double_bass Oboe Shatter
00f2f692.wav,Fireworks Applause Trumpet
0102a895.wav,Shatter Laughter Knock
010a0b3a.wav,Shatter Drawer_open_or_close Scissors
010eed01.wav,Shatter Harmonica Knock
01115622.wav,Bass_drum Snare_drum Tearing
01198b7e.wav,Writing Harmonica Tearing
01207ce5.wav,Laughter Shatter Writing
0137bfba.wav,Shatter Shatter Flute
014eb52e.wav,Writing Fireworks Knock
01608fa3.wav,Bark Cello Fart
0169348e.wav,Shatter Oboe Cello
016e52da.wav,Double_bass Flute Bark
0183b482.wav,Laughter Cowbell Acoustic_guitar
0185de6b.wav,Tearing Bark Double_bass
01a5a2a3.wav,Knock Bass_drum Cello
01aed32a.wav,Tambourine Applause Shatter
01afccc5.wav,Gunshot_or_gunfire Knock Acoustic_guitar
01b4cdb5.wav,Tearing Clarinet Oboe
01b85217.wav,Flute Fart Applause
01bb344f.wav,Chime Tearing Meow
01bede12.wav,Chime Tambourine Bus
01c9d6d3.wav,Electric_piano Flute Bus
01e628cb.wav,Cough Fireworks Flute
01e6e112.wav,Hi-hat Cello Oboe
01e99e2d.wav,Double_bass Bark Cowbell
01eccb6e.wav,Applause Applause Writing
01f27f99.wav,Knock Bass_drum Cough
01f29edb.wav,Clarinet Tearing Bark
01f9883e.wav,Gunshot_or_gunfire Chime Cough
