fname,label,manually_verified,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19
00044347.wav,Hi-hat,0,-49.21187847460653,-28.438612442668376,-24.488600528926906,-30.71361817963622,-42.51207582464324,-55.942434758327444,-67.99837224115039,-78.96495000154377,-91.56225021313156,-95.42029822047002,-96.88173764316478,-109.08136394503029,-121.07079124228537,-119.73481127803761,-122.46572998547339,-131.955454163132,-133.36591874007203,-131.17720018036115,-119.67981943551548,-114.56155587540394
001ca53d.wav,Saxophone,1,-546.365585906005,-540.6051289194843,-540.8684382803134,-553.1457465540678,-561.1685570686683,-573.367175080329,-597.3095859021887,-619.4700046763137,-419.0810373005543,-350.4234693840172,-405.441553827131,-517.793332415826,-398.26799836931315,-345.46922713418564,-356.63921184213103,-350.40692740314574,-328.35768055283614,-322.28135962457793,-313.77436453163773,-311.45770594358555
002d256b.wav,Trumpet,0,-502.0962614323356,-421.33628193756886,-397.99064551900807,-437.16171741405736,-527.0639174257196,-595.5299728461596,-601.433379007605,-566.7020812038152,-562.0350845339311,-606.9591621066118,-665.4698292304383,-702.9395628906749,-731.5912584978394,-761.3063271435535,-771.9663309824703,-770.9215688173194,-779.491689542167,-786.7863486710686,-798.0225134540134,65.7018859401163
0033e230.wav,Glockenspiel,1,-326.04815698775576,-376.42871279699125,-535.8334685577114,-574.345066668449,-613.8595295673708,-659.1429762123217,-700.6954369855041,-721.0956169813611,-731.3596473578817,-737.2353815009326,-741.1825825757753,-744.9151509532328,-751.4356871288389,-756.1274077937641,-758.4040115646259,-761.4637360494909,-764.7705582849604,-765.4235409452255,-767.6048713650443,-769.5470235789011
00353774.wav,Cello,1,-488.5272035510424,-482.26312889873134,-481.72622354380826,-473.2516701824666,-394.22910291585873,-300.32272605750643,-239.292751519829,-205.06548068927037,-183.74166546111383,-191.0221812020696,-212.3053828136555,-227.3836283312618,-239.42310163279035,-251.46812440068652,-254.74299735168714,-254.76869886817178,-255.30878863613623,-257.7039858789078,-249.4672306938897,-244.88280618500315
003b91e8.wav,Cello,0,-552.1690004479573,-541.1774578043706,-528.8909826270639,-530.5217835509495,-540.0618761611462,-533.769938323121,-527.3376099203304,-521.2049346506445,-512.6936244753723,-498.2964052616747,-489.7640528312981,-486.0719085138767,-477.7681548992386,-465.225042457332,-455.0250191246625,-446.2090029856915,-440.0982556973351,-436.47341351026733,-437.23266320475545,-437.41724770206156
003da8e5.wav,Knock,1,-668.0165454413766,-669.6941644477959,-668.3240661838366,-666.6379792831952,-587.3872473668196,-217.64027271069125,-123.48136606286862,-137.0902288507485,-216.25534081839984,-310.3034275733385,-329.9294609382648,-316.6063590665256,-374.5881546221584,-455.14900200438694,-398.6228295959221,-293.79056815334695,-272.6029276773011,-326.32552022343265,-361.4199296429777,-405.6225213033584
0048fd00.wav,Gunshot_or_gunfire,1,-515.66494602572,-495.5986626619425,-471.0906502191326,-450.75048253259337,-401.1302514810161,-352.97453639185926,-186.3989337019553,22.295576349493206,99.8829589205518,116.43091335875019,118.60050669601293,107.69618129054773,81.83227446859381,47.801848323006844,18.63764492177549,-15.89995351556677,-49.969325842222894,-79.87120262748608,-116.10119438770315,-149.0836866314207
004ad66f.wav,Clarinet,0,-623.0894467706181,-622.5347735366307,-621.6904134904026,-621.4200084437932,-620.9295502664703,-619.5479587390864,-618.5889294721378,-618.5927172499288,-618.8616749570764,-616.3566525427021,-614.0434783151528,-611.0092426872993,-608.9291721781847,-607.810051397246,-606.8589726770082,-604.9764436152469,-602.7056556903922,-600.339502270424,-598.9618836725908,-597.6538225249687
0063ab88.wav,Computer_keyboard,0,-813.6261210357826,-757.6145255590002,-699.4250890704167,-647.2862533915272,-587.5036923307237,-528.9278173044141,-515.2401315040099,-562.977895949495,-586.5017735359505,-570.1954440326972,-528.9530632918904,-483.6440801347488,-327.3849425348389,-306.6650401588161,-399.1034880347021,-421.96722813240194,-336.20305598890155,-283.8977644855457,-322.0901254299706,-404.4624637412783
